weight_gain,isomorphic_error,stage
0.01,0.5831266755647164,step_0
0.01090909090909091,0.46160383249818293,step_0
0.011818181818181818,0.5834489781294531,step_0
0.012727272727272728,0.5412653646442689,step_0
0.013636363636363637,0.39572954918761133,step_0
0.014545454545454545,0.43066841371605696,step_0
0.015454545454545455,0.40622596047205156,step_0
0.016363636363636365,0.37860471612911856,step_0
0.017272727272727273,0.4118424632614073,step_0
0.01818181818181818,0.6192759226726879,step_0
0.019090909090909092,0.44852706122041947,step_0
0.020000000000000004,0.546674623105025,step_0
0.020909090909090912,0.5221092342236372,step_0
0.02181818181818182,0.5468401779660219,step_0
0.022727272727272728,0.47531224935100924,step_0
0.023636363636363636,0.35693085111793904,step_0
0.024545454545454547,0.49556003093270373,step_0
0.02545454545454546,0.6339737958505117,step_0
0.026363636363636367,0.4116651366894315,step_0
0.027272727272727275,0.43908272692226896,step_0
0.028181818181818183,0.44445632735452917,step_0
0.02909090909090909,0.4684893797357997,step_0
0.030000000000000006,0.7085189760789786,step_0
0.030909090909090914,0.5623796474396769,step_0
0.03181818181818182,0.5647701348467449,step_0
0.03272727272727273,0.5619287556147469,step_0
0.03363636363636364,0.4859633029762838,step_0
0.034545454545454546,0.6983909486940055,step_0
0.03545454545454546,0.5130032172689578,step_0
0.03636363636363637,0.4741406284363834,step_0
0.03727272727272728,0.6094059274497579,step_0
0.038181818181818185,0.4279591574638896,step_0
0.03909090909090909,0.5625305945889375,step_0
0.04,0.396953948929166,step_0
0.040909090909090916,0.45572930382321836,step_0
0.041818181818181824,0.47725941430185875,step_0
0.04272727272727273,0.24680868573298947,step_0
0.04363636363636364,0.589757721704205,step_0
0.044545454545454555,0.5929763401430538,step_0
0.04545454545454546,0.6690987502946084,step_0
0.04636363636363637,0.39971635212446155,step_0
0.04727272727272728,0.5018212723560814,step_0
0.04818181818181819,0.4955604121351937,step_0
0.049090909090909095,0.4804811029230692,step_0
0.05000000000000001,0.4076082118498614,step_0
0.05090909090909092,0.5679064473324533,step_0
0.051818181818181826,0.4600279938836077,step_0
0.052727272727272734,0.4549861018681439,step_0
0.05363636363636364,0.6959444948916127,step_0
0.05454545454545455,0.6375634337833311,step_0
0.055454545454545465,0.6672747701801002,step_0
0.05636363636363637,0.6597658518347271,step_0
0.05727272727272728,0.45087348538581973,step_0
0.05818181818181819,0.6153478946860639,step_0
0.0590909090909091,0.3702180318943291,step_0
0.060000000000000005,0.47591898979947017,step_0
0.06090909090909092,0.5604129823370212,step_0
0.06181818181818183,0.4188777915393287,step_0
0.06272727272727273,0.507396135671036,step_0
0.06363636363636364,0.435433878650745,step_0
0.06454545454545454,0.5880465131867076,step_0
0.06545454545454546,0.6780667077843523,step_0
0.06636363636363637,0.5681105860847959,step_0
0.06727272727272728,0.6244655214038957,step_0
0.06818181818181819,0.2954642337124084,step_0
0.06909090909090909,0.4832470639676932,step_0
0.07,0.6476776184884128,step_0
0.07090909090909092,0.428957126544292,step_0
0.07181818181818182,0.3428146652258364,step_0
0.07272727272727272,0.46182616480945093,step_0
0.07363636363636364,0.4357395011658469,step_0
0.07454545454545455,0.46482433557744063,step_0
0.07545454545454545,0.5391193142740796,step_0
0.07636363636363637,0.4080290124380057,step_0
0.07727272727272727,0.49622430778725135,step_0
0.07818181818181819,0.4733566177348001,step_0
0.0790909090909091,0.4470590581453114,step_0
0.08,0.5927749387489949,step_0
0.08090909090909092,0.4483405715778716,step_0
0.08181818181818182,0.49429656928850496,step_0
0.08272727272727273,0.4212182545500418,step_0
0.08363636363636363,0.49849484290520296,step_0
0.08454545454545455,0.5229710169631487,step_0
0.08545454545454546,0.46647349753615697,step_0
0.08636363636363636,0.4743748576734171,step_0
0.08727272727272728,0.40478990627539213,step_0
0.08818181818181818,0.4892171572507874,step_0
0.0890909090909091,0.5310337705540821,step_0
0.09000000000000001,0.3709840046591615,step_0
0.09090909090909091,0.5915786914189626,step_0
0.09181818181818183,0.5394086534181874,step_0
0.09272727272727273,0.5791500217220985,step_0
0.09363636363636364,0.40668136608102917,step_0
0.09454545454545454,0.5065940699350232,step_0
0.09545454545454546,0.5073939636472768,step_0
0.09636363636363637,0.45595318205903845,step_0
0.09727272727272727,0.7228140318096431,step_0
0.09818181818181819,0.493363674319322,step_0
0.09909090909090909,0.3776223111955543,step_0
0.1,0.3721789179254735,step_0
0.01,0.8021838885585817,step_45
0.014949494949494949,0.7942121855100576,step_45
0.0198989898989899,0.7860049323059108,step_45
0.02484848484848485,0.7775620309538531,step_45
0.029797979797979796,0.7688839712351155,step_45
0.03474747474747475,0.7599718623193844,step_45
0.039696969696969696,0.7508274624117806,step_45
0.04464646464646465,0.74145320600125,step_45
0.049595959595959596,0.7318522282722724,step_45
0.05454545454545454,0.7220283862407638,step_45
0.059494949494949496,0.7119862761811855,step_45
0.06444444444444444,0.7017312469257474,step_45
0.06939393939393938,0.691269408638733,step_45
0.07434343434343434,0.6806076366996371,step_45
0.07929292929292929,0.6697535703681885,step_45
0.08424242424242423,0.6587156059522686,step_45
0.08919191919191918,0.6475028842559861,step_45
0.09414141414141414,0.6361252721490891,step_45
0.09909090909090908,0.6245933381697256,step_45
0.10404040404040403,0.6129183221491844,step_45
0.10898989898989898,0.6011120989283889,step_45
0.11393939393939392,0.589187136320035,step_45
0.11888888888888888,0.5771564475556816,step_45
0.12383838383838383,0.5650335385419779,step_45
0.12878787878787878,0.5528323503326417,step_45
0.13373737373737374,0.540567197300845,step_45
0.1386868686868687,0.5282527015684214,step_45
0.14363636363636365,0.5159037243119824,step_45
0.1485858585858586,0.5035352946199846,step_45
0.15353535353535352,0.4911625366176184,step_45
0.15848484848484848,0.47880059560694016,step_45
0.16343434343434343,0.466464563987148,step_45
0.16838383838383839,0.45416940772380254,step_45
0.17333333333333334,0.4419298941260467,step_45
0.1782828282828283,0.42976052166771206,step_45
0.18323232323232325,0.41767545255227306,step_45
0.18818181818181817,0.405688448673852,step_45
0.19313131313131313,0.3938128115681725,step_45
0.19808080808080808,0.3820613268800127,step_45
0.20303030303030303,0.3704462137990261,step_45
0.207979797979798,0.35897907983564165,step_45
0.21292929292929294,0.34767088122504103,step_45
0.21787878787878787,0.33653188916186827,step_45
0.22282828282828282,0.32557166198325255,step_45
0.22777777777777777,0.31479902333468435,step_45
0.23272727272727273,0.3042220462739044,step_45
0.23767676767676768,0.29384804319368246,step_45
0.24262626262626263,0.28368356137637585,step_45
0.24757575757575756,0.2737343839324382,step_45
0.2525252525252525,0.2640055358223081,step_45
0.25747474747474747,0.25450129461680754,step_45
0.26242424242424245,0.2452252056155419,step_45
0.2673737373737374,0.23618010091580366,step_45
0.2723232323232323,0.22736812200594053,step_45
0.2772727272727273,0.21879074544665125,step_45
0.2822222222222222,0.21044881120069195,step_45
0.2871717171717172,0.20234255317534958,step_45
0.2921212121212121,0.19447163155203467,step_45
0.29707070707070704,0.18683516649264661,step_45
0.302020202020202,0.1794317728321679,step_45
0.30696969696969695,0.17225959539039642,step_45
0.31191919191919193,0.16531634456202943,step_45
0.31686868686868686,0.15859933187269062,step_45
0.32181818181818184,0.15210550521821392,step_45
0.32676767676767676,0.14583148353491507,step_45
0.3317171717171717,0.13977359067908954,step_45
0.33666666666666667,0.13392788832407365,step_45
0.3416161616161616,0.12829020771244065,step_45
0.3465656565656566,0.12285618012892165,step_45
0.3515151515151515,0.11762126598615036,step_45
0.3564646464646465,0.1125807824401031,step_45
0.3614141414141414,0.10772992947499646,step_45
0.36636363636363634,0.1030638144182961,step_45
0.3713131313131313,0.0985774748653521,step_45
0.37626262626262624,0.094265900009983,step_45
0.3812121212121212,0.09012405039212942,step_45
0.38616161616161615,0.08614687608654091,step_45
0.3911111111111111,0.08232933336743588,step_45
0.39606060606060606,0.07866639989329084,step_45
0.401010101010101,0.07515308846348448,step_45
0.40595959595959596,0.07178445940457893,step_45
0.4109090909090909,0.06855563164869041,step_45
0.41585858585858587,0.06546179256982537,step_45
0.4208080808080808,0.062498206646361895,step_45
0.4257575757575757,0.059660223019174806,step_45
0.4307070707070707,0.056943282015361085,step_45
0.43565656565656563,0.05434292070723157,step_45
0.4406060606060606,0.05185477757531471,step_45
0.44555555555555554,0.04947459634266352,step_45
0.4505050505050505,0.047198229045864744,step_45
0.45545454545454545,0.045021638405906256,step_45
0.46040404040404037,0.042940899559535846,step_45
0.46535353535353535,0.04095220120901722,step_45
0.4703030303030303,0.039051846245311043,step_45
0.47525252525252526,0.0372362518967364,step_45
0.4802020202020202,0.035501949452146596,step_45
0.4851515151515151,0.0338455836046185,step_45
0.4901010101010101,0.032263911458643435,step_45
0.495050505050505,0.0307538012408449,step_45
0.5,0.02931223075135632,step_45
0.01,0.9975273768433653,final
0.025050505050505052,0.9964018735122391,final
0.0401010101010101,0.994766744585381,final
0.05515151515151515,0.9923942213452704,final
0.0702020202020202,0.9889580416625052,final
0.08525252525252525,0.983994483845161,final
0.1003030303030303,0.9768519427844257,final
0.11535353535353535,0.9666301004261714,final
0.1304040404040404,0.9521157051695643,final
0.14545454545454545,0.9317340531894772,final
0.1605050505050505,0.9035558411474154,final
0.17555555555555558,0.8654264045343061,final
0.1906060606060606,0.8153037990090656,final
0.20565656565656565,0.7518653777779275,final
0.2207070707070707,0.6753148827354344,final
0.23575757575757578,0.5880864844937345,final
0.2508080808080808,0.4949496667108436,final
0.26585858585858585,0.402162042136915,final
0.2809090909090909,0.3158894379061862,final
0.295959595959596,0.24067363048576157,final
0.311010101010101,0.17868936017883827,final
0.32606060606060605,0.12993708520811012,final
0.34111111111111114,0.09298019452229975,final
0.3561616161616162,0.06574041763336749,final
0.3712121212121212,0.04607550624931942,final
0.38626262626262625,0.03209090063656968,final
0.4013131313131313,0.022251821443975153,final
0.4163636363636364,0.015381467572240431,final
0.4314141414141414,0.010609350266973624,final
0.44646464646464645,0.0073068005115876095,final
0.46151515151515154,0.005027067166281964,final
0.4765656565656566,0.0034561378618836996,final
0.4916161616161616,0.0023749430799147506,final
0.5066666666666666,0.001631428239718388,final
0.5217171717171717,0.001120421480545079,final
0.5367676767676768,0.0007693522987188238,final
0.5518181818181818,0.0005282278079674284,final
0.5668686868686869,0.00036264727701216945,final
0.581919191919192,0.0002489573935532785,final
0.5969696969696969,0.0001709031831808318,final
0.612020202020202,0.00011731799835829629,final
0.6270707070707071,8.053262206116654e-05,final
0.6421212121212121,5.5280762492471587e-05,final
0.6571717171717172,3.794659138990767e-05,final
0.6722222222222223,2.6047686502819333e-05,final
0.6872727272727273,1.787985206844388e-05,final
0.7023232323232323,1.2273193288992789e-05,final
0.7173737373737373,8.424622759897078e-06,final
0.7324242424242424,5.782861992106439e-06,final
0.7474747474747475,3.96949110600213e-06,final
0.7625252525252525,2.72474956211201e-06,final
0.7775757575757576,1.8703297425551067e-06,final
0.7926262626262626,1.2838363045479552e-06,final
0.8076767676767677,8.812538860095164e-07,final
0.8227272727272728,6.049122546355259e-07,final
0.8377777777777777,4.1522518074401006e-07,final
0.8528282828282828,2.8501975145539524e-07,final
0.8678787878787879,1.9564385584056818e-07,final
0.8829292929292929,1.3429426227468158e-07,final
0.897979797979798,9.218254493840866e-08,final
0.9130303030303031,6.327613209362002e-08,final
0.9280808080808081,4.3434132341558994e-08,final
0.9431313131313132,2.9814145999551124e-08,final
0.9581818181818181,2.0465087017191135e-08,final
0.9732323232323232,1.4047686806111183e-08,final
0.9882828282828283,9.827157950706218e-09,final
1.0033333333333332,1.0504710675849247e-08,final
1.0183838383838384,1.0051293873309932e-08,final
1.0334343434343434,1.0938147346330508e-08,final
1.0484848484848486,8.33623903013894e-09,final
1.0635353535353536,9.464078601013794e-09,final
1.0785858585858585,1.3537541178849385e-08,final
1.0936363636363635,9.99031178287605e-09,final
1.1086868686868687,9.453211787484413e-09,final
1.1237373737373737,1.0008954297138674e-08,final
1.1387878787878787,8.756625336577419e-09,final
1.1538383838383839,1.086141642781677e-08,final
1.1688888888888889,9.952139310751154e-09,final
1.1839393939393938,1.0275105437131032e-08,final
1.198989898989899,8.763051027252872e-09,final
1.214040404040404,9.477908420221469e-09,final
1.229090909090909,1.0815814581155121e-08,final
1.2441414141414142,9.909788252456811e-09,final
1.2591919191919192,1.1934565064599033e-08,final
1.2742424242424242,1.0284802348922961e-08,final
1.2892929292929294,1.0788806707538834e-08,final
1.3043434343434344,9.57989530712744e-09,final
1.3193939393939393,9.06143802601332e-09,final
1.3344444444444445,1.034572353075622e-08,final
1.3494949494949495,1.0013644948794802e-08,final
1.3645454545454545,1.1177200268643868e-08,final
1.3795959595959595,8.773327590536053e-09,final
1.3946464646464647,1.0516180124202478e-08,final
1.4096969696969697,9.172333185064302e-09,final
1.4247474747474747,1.0192449076711238e-08,final
1.4397979797979799,1.032864400412461e-08,final
1.4548484848484848,9.782711842971743e-09,final
1.4698989898989898,9.12657039717095e-09,final
1.484949494949495,1.1595509861604027e-08,final
1.5,1.05216594586541e-08,final
