epoch,lstm_loss,lstm_acc,lstm_perfect,lstm_kb,transformer_loss,transformer_acc,transformer_perfect,transformer_kb
0,0.6392578697777367,0.9440732002258301,0.08779999613761902,293.6115334155038,0.3304584151870376,0.999795138835907,0.998199999332428,151.01925190932525
1,0.4125306061676911,0.9963610172271729,0.8693999648094177,155.61175927054137,0.11459239801248391,0.999795138835907,0.998199999332428,28.314010571290055
2,0.2305635030324514,0.999780535697937,0.9975999593734741,65.32297053001821,0.054610496097140845,0.9998000264167786,0.998199999332428,15.922216045476034
3,0.13621800750106186,0.999795138835907,0.998199999332428,29.985170597676188,0.031120976408919296,0.999921977519989,0.9989999532699585,9.893597398290694
4,0.09003051618436674,0.999795138835907,0.998199999332428,15.999360462650657,0.019806003666019534,0.9999561309814453,0.9993999600410461,7.046249575082584
5,0.06491773698900316,0.999795138835907,0.998199999332428,9.83555148774758,0.013658650286562808,0.9999707341194153,0.9995999932289124,4.828218726936939
6,0.04964691201249162,0.999795138835907,0.998199999332428,6.802614620537497,0.009972703862595965,0.9999902844429016,0.9997999668121338,3.762868328920149
7,0.03954376606373219,0.999795138835907,0.998199999332428,5.001417891413439,0.007573570312561096,0.99998539686203,0.9995999932289124,2.895308688168825
8,0.032471325566938096,0.999795138835907,0.998199999332428,3.925581860297825,0.005945891350716562,0.9999951720237732,0.9997999668121338,2.2950388024967197
9,0.02728646395800708,0.999795138835907,0.998199999332428,3.1690395593759604,0.004800051701319468,1.0,1.0,1.8934974636631523
10,0.023300449053446453,0.999795138835907,0.998199999332428,2.706602285092231,0.003938767460134772,1.0,1.0,1.5376017271005367
11,0.020206526306656387,0.999795138835907,0.998199999332428,2.3153282398125157,0.003288004034990305,1.0,1.0,1.2459578862591343
12,0.017717881054730267,0.999795138835907,0.998199999332428,1.9458346276078373,0.0027981153628728293,1.0,1.0,1.2003290525403827
13,0.01568413386951099,0.999795138835907,0.998199999332428,1.8064012854301836,0.00238903467659955,1.0,1.0,0.9076774918773935
14,0.014029453562067317,0.999795138835907,0.998199999332428,1.5197775155538693,0.0020758093208880037,1.0,1.0,0.8369374389669701
15,0.012622855578337585,0.999795138835907,0.998199999332428,1.4146590098680463,0.0018176467941926646,1.0,1.0,0.7322398134142531
16,0.011444157737869401,0.999795138835907,0.998199999332428,1.2212957351148361,0.0016002883230363046,1.0,1.0,0.6001076658182569
17,0.010408792815528235,0.999795138835907,0.998199999332428,1.148304764108616,0.0014244142192620056,1.0,1.0,0.6030984401612329
18,0.009526127594727296,0.999795138835907,0.998199999332428,1.0256191088119522,0.0012744758624930281,1.0,1.0,0.5476243178854929
19,0.008763255120755674,0.999795138835907,0.998199999332428,0.9744429134225356,0.0011524469376326322,1.0,1.0,0.6580125069042708
20,0.008093451111166328,0.999795138835907,0.998199999332428,0.8530961820069933,0.0010334918918731334,1.0,1.0,0.40121129416198187
21,0.007506157011837811,0.999795138835907,0.998199999332428,0.7781573862521327,0.0009391147289070878,1.0,1.0,0.4449879142908344
22,0.006970579338980628,0.999795138835907,0.998199999332428,0.7281695648089226,0.0008511342011295162,1.0,1.0,0.32462034336425916
23,0.006498507539311926,0.999795138835907,0.998199999332428,0.6689591465838021,0.0007805859078993429,1.0,1.0,0.31449724772197385
24,0.006078826259445023,0.999795138835907,0.998199999332428,0.6409114799898816,0.0007178922389839982,1.0,1.0,0.363792153518105
25,0.005697741164817466,0.999795138835907,0.998199999332428,0.592121955287439,0.000659795028639508,1.0,1.0,0.26613024560900556
26,0.005365196332797871,0.999795138835907,0.998199999332428,0.5643255000250065,0.0006100135157117853,1.0,1.0,0.2621061242458893
27,0.005042101581533392,0.999795138835907,0.998199999332428,0.5427296138077509,0.0005669431680733257,1.0,1.0,0.27561874240983286
28,0.004763483422415869,0.999795138835907,0.998199999332428,0.5289591343971551,0.0005282927502144325,1.0,1.0,0.3367645378593096
29,0.004504645425636131,0.999795138835907,0.998199999332428,0.5136926084232982,0.0004893803847832484,1.0,1.0,0.28001417709287324
30,0.004272735354539987,0.999795138835907,0.998199999332428,0.48190776763658505,0.0004559133503888104,1.0,1.0,0.20618422226072397
31,0.004052843163917969,0.999795138835907,0.998199999332428,0.4637129239636124,0.00043826392656928667,1.0,1.0,0.8808198904511073
32,0.0038536770297242355,0.999795138835907,0.998199999332428,0.4301074777904432,0.00040113244567428145,1.0,1.0,0.2840112291644026
33,0.003663580288161506,0.999795138835907,0.998199999332428,0.3973384360942873,0.0003744957892147748,1.0,1.0,0.16348670958214484
34,0.0034964120453661747,0.999795138835907,0.998199999332428,0.4004073626074387,0.00036175570509455225,1.0,1.0,1.002776419238657
35,0.003339295645614525,0.999795138835907,0.998199999332428,0.3435167933093908,0.0003356931979084635,1.0,1.0,0.37792796905794646
36,0.003190467769915874,0.999795138835907,0.998199999332428,0.3450633084976289,0.0003158208516028312,1.0,1.0,0.24492842462478137
37,0.0030535385146871342,0.999795138835907,0.998199999332428,0.29453704554543947,0.0002960070039148445,1.0,1.0,0.13960651142024716
38,0.002930136375479751,0.999795138835907,0.998199999332428,0.2947041654479108,0.0002840443233678768,1.0,1.0,0.5257774252514302
39,0.0028158509069018895,0.999795138835907,0.998199999332428,0.2741799535779137,0.0002745882131614246,1.0,1.0,0.6519191692790152
40,0.0026999184080549665,0.999795138835907,0.998199999332428,0.2847918001116341,0.00025906777596688485,1.0,1.0,0.4440277349113373
41,0.002593027199949469,0.999795138835907,0.998199999332428,0.25171174103707017,0.000241905285998269,1.0,1.0,0.16995038279316077
42,0.0024986275860497185,0.999795138835907,0.998199999332428,0.24515817734027223,0.00022873481058770115,1.0,1.0,0.11837709847321776
43,0.002409372440687529,0.999795138835907,0.998199999332428,0.2336848946615646,0.00021721054711290548,1.0,1.0,0.09102060607335005
44,0.0023207585792522412,0.999795138835907,0.998199999332428,0.22810829002446553,0.0002070584240275341,1.0,1.0,0.08114878650956214
45,0.0022424128022160497,0.999795138835907,0.998199999332428,0.2125236849533394,0.0002092411982136088,1.0,1.0,0.9827913858824502
46,0.00216480084845015,0.999795138835907,0.998199999332428,0.21729546910864883,0.0001904852850524871,1.0,1.0,0.1191753876495465
47,0.0020912786787217323,0.999795138835907,0.998199999332428,0.19468383409275702,0.00018352474588471967,1.0,1.0,0.2418258720365305
48,0.0020275298196512897,0.999795138835907,0.998199999332428,0.19371840245003114,0.00017426285549655213,1.0,1.0,0.08311760614922292
49,0.0019644989504351154,0.999795138835907,0.998199999332428,0.1684990816802383,0.00016856318576498195,1.0,1.0,0.19692629974132814
50,0.0019058744664545413,0.999795138835907,0.998199999332428,0.16080410055383254,0.000160784989938483,1.0,1.0,0.07707463372015155
51,0.00184921698497461,0.999795138835907,0.998199999332428,0.15634054399743036,0.00015407373962757944,1.0,1.0,0.06836867141906922
52,0.0017957531176768504,0.999795138835907,0.998199999332428,0.1446849114008728,0.0001481404470222013,1.0,1.0,0.061391617115522656
53,0.0017451919935964368,0.999795138835907,0.998199999332428,0.13909626533495612,0.0001427874088406682,1.0,1.0,0.07427090033834105
54,0.0016946229431125614,0.999795138835907,0.998199999332428,0.12783635426421824,0.00013761062499460157,1.0,1.0,0.04726433444229272
55,0.0016494654305465705,0.999795138835907,0.998199999332428,0.12317325687308767,0.00013435986191332637,1.0,1.0,0.18154627793477562
56,0.0016065835758849783,0.999795138835907,0.998199999332428,0.11420440247911756,0.0001295428365110993,1.0,1.0,0.12965845555283018
57,0.0015652705286000226,0.999795138835907,0.998199999332428,0.10860434912137862,0.0001242157695507323,1.0,1.0,0.04229055658162473
58,0.0015275457465612852,0.999795138835907,0.998199999332428,0.10015733566524432,0.00012033565652307805,1.0,1.0,0.041467810681520945
59,0.0014921092817017265,0.999795138835907,0.998199999332428,0.09842537890381209,0.00011639285290071198,1.0,1.0,0.037881020991040515
60,0.0014552886958594795,0.999795138835907,0.998199999332428,0.09086570122690318,0.00011468976120780538,1.0,1.0,0.16062615241347888
61,0.0014231096621270891,0.999795138835907,0.998199999332428,0.08936855843330704,0.00011014316792229752,1.0,1.0,0.04339309488751297
62,0.001392242024551044,0.999795138835907,0.998199999332428,0.0824360125043313,0.0001071408572788532,1.0,1.0,0.061761486171797664
63,0.0016435670825812193,0.999795138835907,0.998199999332428,0.07353943974067079,0.00010468284240564903,1.0,1.0,0.05078295956416845
64,0.001357060524675104,0.9998049139976501,0.998199999332428,0.26729144575074315,0.00010162923285538131,1.0,1.0,0.07683802728828937
65,0.0013168163097895182,0.9998049139976501,0.998199999332428,0.07720182962930267,9.962576287644761e-05,1.0,1.0,0.13943809260543016
66,0.0012861899308136873,0.9998000264167786,0.998199999332428,0.0632365742831098,9.597836768961287e-05,1.0,1.0,0.0254062577814258
67,0.0012644020137605487,0.9998000264167786,0.998199999332428,0.05544418320096156,9.409732859324406e-05,1.0,1.0,0.05058369772791682
68,0.0014829600507671292,0.9998000264167786,0.998199999332428,0.05123645529238274,9.201233264979895e-05,1.0,1.0,0.041777209092024314
69,0.0012394279032736809,0.9998195171356201,0.998199999332428,0.17449090995796723,8.973638425479542e-05,1.0,1.0,0.028802184510361428
70,0.001208926847687474,0.9998146891593933,0.998199999332428,0.04898789545040927,8.798473867941069e-05,1.0,1.0,0.030239763624687388
71,0.0011851032694300135,0.9998146891593933,0.998199999332428,0.039788279743106614,8.573433499898877e-05,1.0,1.0,0.02072420825095289
72,0.0011684726606737506,0.9998146891593933,0.998199999332428,0.034934638696995535,8.38740768882486e-05,1.0,1.0,0.014166257637467261
73,0.0011549581726034124,0.9998146891593933,0.998199999332428,0.031627140125692677,8.230829682271998e-05,1.0,1.0,0.019953762709407075
74,0.0011357628472813137,0.9998098015785217,0.998199999332428,0.02923868278367081,8.102156934109297e-05,1.0,1.0,0.024103883161386452
75,0.001122029661923438,0.9998098015785217,0.998199999332428,0.024141624010781015,7.930193711687495e-05,1.0,1.0,0.010250388070521366
76,0.0011094111072885858,0.9998098015785217,0.998199999332428,0.021546322464473633,7.814717254376745e-05,1.0,1.0,0.009842096329526928
77,0.0010993998374666896,0.9998098015785217,0.998199999332428,0.01884291954456785,7.683718567704772e-05,1.0,1.0,0.008131049043579086
78,0.0010861921134415094,0.9998098015785217,0.998199999332428,0.017863479313973585,7.588530035765918e-05,1.0,1.0,0.007415660111784739
79,0.0010747031205230288,0.9998098015785217,0.998199999332428,0.014662257100326315,7.45845688236607e-05,1.0,1.0,0.006654928669633686
80,0.0010662464960082038,0.9998098015785217,0.998199999332428,0.01271933742168585,7.406758830637426e-05,1.0,1.0,0.016517279913725647
81,0.0010574534445911556,0.9998098015785217,0.998199999332428,0.011016767759656432,7.287831902429387e-05,1.0,1.0,0.005718599123116563
82,0.0010483900735805461,0.9998098015785217,0.998199999332428,0.009181677766491703,7.203022918633155e-05,1.0,1.0,0.004366174642099208
83,0.0010438054181016363,0.9998098015785217,0.998199999332428,0.007839446242826398,7.122020088919291e-05,1.0,1.0,0.0037125359624220478
84,0.0010348254309461879,0.9998098015785217,0.998199999332428,0.00664076720840967,7.145582839056059e-05,1.0,1.0,0.03797578089916076
85,0.0010285558218175585,0.9998098015785217,0.998199999332428,0.005503314306167795,7.054192257357074e-05,1.0,1.0,0.007606642020148158
86,0.0010245960291560825,0.9998098015785217,0.998199999332428,0.00441232838926453,6.955377944000252e-05,1.0,1.0,0.003193188174815287
87,0.0010179367665950959,0.9998049139976501,0.998199999332428,0.003206638567576192,6.89552553385884e-05,1.0,1.0,0.0022432472811774185
88,0.001015110775544956,0.9998049139976501,0.998199999332428,0.002461981634667154,6.853195543105419e-05,1.0,1.0,0.0014413475648711593
89,0.001009751500578614,0.9998049139976501,0.998199999332428,0.0018147158174173228,6.811287630726029e-05,1.0,1.0,0.0009957489562978927
90,0.0010051591610824979,0.9998049139976501,0.998199999332428,0.0013051047429399887,6.76547730895313e-05,1.0,1.0,0.001058918141291637
91,0.0010044916218763834,0.9998049139976501,0.998199999332428,0.0008813050291749391,6.74263832417575e-05,1.0,1.0,0.0005238933064414253
92,0.001002530406067918,0.9998049139976501,0.998199999332428,0.0005988156907505982,6.715535532097679e-05,1.0,1.0,0.0003661296739833897
93,0.000999861327675847,0.9998049139976501,0.998199999332428,0.00037318821008724967,6.707267308080042e-05,1.0,1.0,0.0002615957048234807
94,0.0009978162805299024,0.9998049139976501,0.998199999332428,0.00020789010189226076,6.692545512715379e-05,1.0,1.0,0.00016623385202211433
95,0.0009962106833944807,0.9998049139976501,0.998199999332428,0.00010193719956408387,6.682859161296287e-05,1.0,1.0,7.791602215882765e-05
96,0.0009955116153300345,0.9998049139976501,0.998199999332428,4.382781006162517e-05,6.668859033717646e-05,1.0,1.0,3.987658873618079e-05
97,0.0009944823828784077,0.9998049139976501,0.998199999332428,1.5113843350844647e-05,6.672857409423297e-05,1.0,1.0,1.2132449872982818e-05
98,0.000995493979306073,0.9998049139976501,0.998199999332428,3.012177992700593e-06,6.715090082095073e-05,1.0,1.0,3.278181454794554e-05
99,0.0009963050178877703,0.9998049139976501,0.998199999332428,2.0843957958954773e-07,6.664314375327037e-05,1.0,1.0,1.6434214569673727e-07
